Full ID,Category ID,Category Name,Subcategory ID,Subcategory Name,Default Severity,Default Score,Description
mental_health.disordered_eating,mental_health,Mental Health,disordered_eating,Disordered Eating,moderate,6,"Disordered eating, eating disorders, body image issues."
mental_health.weight_loss_dieting,mental_health,Mental Health,weight_loss_dieting,Weight Loss / Dieting Focus,moderate,4,"Chronic diet talk, weight loss focus, ""makeover"" plots, or dieting narratives. Distinct from disordered eating but may be triggering for ED-sensitive readers. Keywords: makeover, diet culture, clean eating."
mental_health.anxiety,mental_health,Mental Health,anxiety,Anxiety,moderate,7,"Anxiety, panic attacks, stress, anxiety disorders."
mental_health.depression,mental_health,Mental Health,depression,Depression,moderate,6,"Depression, mood disorders, depressive episodes."
mental_health.ptsd,mental_health,Mental Health,ptsd,PTSD / Trauma,moderate,7,"Post-traumatic stress disorder, trauma, traumatic experiences."
mental_health.self_harm,mental_health,Mental Health,self_harm,Self-Harm,moderate,9,"Self-harm behaviors, cutting, non-suicidal self-injury."
mental_health.suicidal_ideation,mental_health,Mental Health,suicidal_ideation,Suicidal Ideation,moderate,9,"Suicidal thoughts, attempts, detailed descriptions of suicide."
mental_health.suicide_minor,mental_health,Mental Health,suicide_minor,Suicide of a Minor,moderate,10,Suicide or suicidal ideation involving a child or minor character.
mental_health.casual_suicidal_ideation,mental_health,Mental Health,casual_suicidal_ideation,Casual Suicidal Ideation / Jokes,moderate,4,"Non-graphic but repeated ""jokes"" or casual references to suicide, self-harm, or death wishes. Less severe than acute suicidal content but may still be triggering."
mental_health.workplace_burnout,mental_health,Mental Health,workplace_burnout,Workplace Burnout / Toxic Workplace,moderate,5,"Workplace burnout, toxic work environments, overwork, or professional stress. May include exploitation, harassment, or unsafe working conditions."
mental_health.academic_pressure,mental_health,Mental Health,academic_pressure,Academic Pressure / Exam Stress,moderate,5,"Academic pressure, exam stress, academic competition, or intense educational pressure. May include academic failure, grade anxiety, or competitive academic environments."
mental_health.other_mental_health,mental_health,Mental Health,other_mental_health,Other Mental Health,moderate,4,Other mental health themes not covered by specific subcategories.
sexual_content.explicit_sexual_content,sexual_content,Sexual Content,explicit_sexual_content,Explicit Sexual Content,moderate,6,"Explicit sexual scenes, graphic sexual descriptions."
